condition,image_id,input_path,expected_probability,observed_probability,absolute_error,source_probability_range,expected_class,observed_class,class_agreement,expected_threshold_distance,observed_threshold_distance
baseline,ISIC_0000013,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000013.png,0.0213635228574275,0.021207774057984352,0.0001557487994431478,0.0,0,0,True,0.4786364771425725,0.47879222594201565
baseline,ISIC_0000031,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000031.png,0.207367330789566,0.20299053192138672,0.0043767988681792935,0.0,0,0,True,0.29263266921043396,0.2970094680786133
baseline,ISIC_0000047,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000047.png,0.0690550953149795,0.06908932328224182,3.422796726232358e-05,0.0,0,0,True,0.4309449046850205,0.4309106767177582
baseline,ISIC_0000125,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000125.png,0.9932789206504822,0.9932501316070557,2.8789043426513672e-05,0.0,1,1,True,0.4932789206504822,0.49325013160705566
baseline,ISIC_0000159,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000159.png,0.1482793688774109,0.15087062120437622,0.002591252326965332,0.0,0,0,True,0.3517206311225891,0.3491293787956238
baseline,ISIC_0000175,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000175.png,0.096113234758377,0.09534638375043869,0.0007668510079383156,0.0,0,0,True,0.403886765241623,0.4046536162495613
baseline,ISIC_0000276,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000276.png,0.4701863825321197,0.47456586360931396,0.004379481077194269,0.0,0,0,True,0.029813617467880305,0.025434136390686035
baseline,ISIC_0000298,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000298.png,0.916218101978302,0.9166409969329834,0.0004228949546813965,0.0,1,1,True,0.416218101978302,0.4166409969329834
baseline,ISIC_0000303,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000303.png,0.23161399364471427,0.23107926547527313,0.0005347281694411399,0.0,0,0,True,0.26838600635528576,0.26892073452472687
baseline,ISIC_0000384,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000384.png,0.7042967677116394,0.6942950487136841,0.010001718997955322,0.0,1,1,True,0.2042967677116394,0.19429504871368408
baseline,ISIC_0000420,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000420.png,0.5017710328102112,0.4976561963558197,0.0041148364543914795,0.0,1,0,False,0.0017710328102111816,0.002343803644180298
baseline,ISIC_0000482,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000482.png,0.415884405374527,0.41230884194374084,0.003575563430786133,0.0,0,0,True,0.08411559462547302,0.08769115805625916
baseline,ISIC_0000510,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000510.png,0.367836982011795,0.36859431862831116,0.0007573366165161688,0.0,0,0,True,0.132163017988205,0.13140568137168884
